ticker,date,close,volume,tri,mktcap
9618 HK Equity,2023-04-24,138.4,9038647.0,143.929,435657.8353
9618 HK Equity,2023-04-25,132.7,11030238.0,138.001,417715.2799
9618 HK Equity,2023-04-26,136.1,11282847.0,141.537,428417.8568
9618 HK Equity,2023-04-27,135.9,7979961.0,141.329,427788.2935
9618 HK Equity,2023-04-28,135.9,8128265.0,141.329,427788.2935
9618 HK Equity,2023-05-02,138.2,9336864.0,143.721,435028.2719
9618 HK Equity,2023-05-03,134.3,8607140.0,139.665,422751.7867
9618 HK Equity,2023-05-04,137.5,7529847.0,142.993,432824.8002
9618 HK Equity,2023-05-05,140.8,8147678.0,146.425,443212.5954
9618 HK Equity,2023-05-08,139.5,6663123.0,145.073,439120.4337
9618 HK Equity,2023-05-09,136.5,7426665.0,141.953,429676.9835
9618 HK Equity,2023-05-10,135.6,13575422.0,141.017,426843.9485
9618 HK Equity,2023-05-11,135.0,12467373.0,140.393,424955.2584
9618 HK Equity,2023-05-12,144.8,21710205.0,150.585,455803.8624
9618 HK Equity,2023-05-15,141.1,13391094.0,146.737,444156.9405
9618 HK Equity,2023-05-16,146.8,11971065.0,152.665,462099.4958
9618 HK Equity,2023-05-17,143.6,11128795.0,149.337,452026.4823
9618 HK Equity,2023-05-18,144.0,9925411.0,149.753,453285.609
9618 HK Equity,2023-05-19,137.2,10896133.0,142.681,431880.4552
9618 HK Equity,2023-05-22,140.1,6265046.0,145.697,441009.1237
9618 HK Equity,2023-05-23,138.4,5136527.0,143.929,435657.8353
9618 HK Equity,2023-05-24,135.3,5589836.0,140.705,425899.6034
9618 HK Equity,2023-05-25,130.1,12264676.0,135.298,409530.9564
9618 HK Equity,2023-05-29,127.9,9573227.0,133.01,402605.7596
9618 HK Equity,2023-05-30,130.0,9767010.0,135.194,409216.1748
9618 HK Equity,2023-05-31,125.9,31696443.0,130.93,396310.1262
9618 HK Equity,2023-06-01,130.0,21801803.0,135.194,409216.1748
9618 HK Equity,2023-06-02,138.5,19619054.0,144.033,435972.617
9618 HK Equity,2023-06-05,138.4,8637266.0,143.929,435657.8353
9618 HK Equity,2023-06-06,141.4,8797161.0,147.049,445101.2855
9618 HK Equity,2023-06-07,144.2,9050028.0,149.961,453915.1723
9618 HK Equity,2023-06-08,144.7,6799043.0,150.481,455489.0807
9618 HK Equity,2023-06-09,145.0,6664745.0,150.793,456433.4257
9618 HK Equity,2023-06-12,143.8,5380386.0,149.545,452656.0456
9618 HK Equity,2023-06-13,147.4,6543742.0,153.289,463988.1859
9618 HK Equity,2023-06-14,147.5,4856129.0,153.393,464302.9675
9618 HK Equity,2023-06-15,155.2,13180426.0,161.4,488541.1563
9618 HK Equity,2023-06-16,157.4,12783130.0,163.688,495466.3531
9618 HK Equity,2023-06-19,154.4,6885818.0,160.568,486022.903
9618 HK Equity,2023-06-20,149.7,7948980.0,155.681,471228.1643
9618 HK Equity,2023-06-21,142.6,8278540.0,148.297,448878.6656
9618 HK Equity,2023-06-23,140.1,8687735.0,145.697,441009.1237
9618 HK Equity,2023-06-26,136.1,8800583.0,141.537,428417.8568
9618 HK Equity,2023-06-27,139.7,7918347.0,145.281,439749.997
9618 HK Equity,2023-06-28,138.0,9659309.0,143.513,434398.7086
9618 HK Equity,2023-06-29,132.9,11448891.0,138.209,418344.8433
9618 HK Equity,2023-06-30,132.4,8073936.0,137.689,467686.4133
9618 HK Equity,2023-07-03,138.3,10049005.0,143.825,488527.4242
9618 HK Equity,2023-07-04,142.2,6734973.0,147.881,447619.5389
9618 HK Equity,2023-07-05,138.7,3465074.0,144.241,489940.3741
9618 HK Equity,2023-07-06,135.5,7700580.0,140.913,478636.775
9618 HK Equity,2023-07-07,134.7,8837699.0,140.081,475810.8752
9618 HK Equity,2023-07-10,137.0,5877453.0,142.473,483935.3371
9618 HK Equity,2023-07-11,139.5,6739947.0,145.073,492766.2739
9618 HK Equity,2023-07-12,141.6,5219331.0,147.257,500184.2608
9618 HK Equity,2023-07-13,150.7,14165794.0,156.721,532328.8708
9618 HK Equity,2023-07-14,150.5,10220309.0,156.513,531622.3958
9618 HK Equity,2023-07-18,143.5,12104169.0,149.233,506895.7728
9618 HK Equity,2023-07-19,142.8,9558761.0,148.505,504423.1104
9618 HK Equity,2023-07-20,142.9,4882915.0,148.609,504776.3479
9618 HK Equity,2023-07-21,145.2,3848023.0,151.001,512900.8098
9618 HK Equity,2023-07-24,141.4,6472926.0,147.049,499477.7858
9618 HK Equity,2023-07-25,152.3,13870351.0,158.385,537980.6703
9618 HK Equity,2023-07-26,149.5,5044730.0,155.473,528090.0211
9618 HK Equity,2023-07-27,151.3,7226209.0,157.345,534448.2956
9618 HK Equity,2023-07-28,153.4,8283419.0,159.528,541866.2825
9618 HK Equity,2023-07-31,159.8,18408224.0,166.184,564473.4807
9618 HK Equity,2023-08-01,158.2,8944417.0,164.52,558821.6812
9618 HK Equity,2023-08-02,152.7,10221363.0,158.8,539393.6202
9618 HK Equity,2023-08-03,150.3,6298502.0,156.305,530915.9209
9618 HK Equity,2023-08-04,155.0,6944259.0,161.192,547518.0821
9618 HK Equity,2023-08-07,155.2,5325575.0,161.4,548224.557
9618 HK Equity,2023-08-08,148.4,8909879.0,154.329,524204.4089
9618 HK Equity,2023-08-09,149.1,4939474.0,155.057,526677.0712
9618 HK Equity,2023-08-10,149.1,5429141.0,155.057,526677.0712
9618 HK Equity,2023-08-11,146.1,6007880.0,151.937,516079.947
9618 HK Equity,2023-08-14,144.2,7781906.0,149.961,509368.4351
9618 HK Equity,2023-08-15,142.2,7033239.0,147.881,502303.6856
9618 HK Equity,2023-08-16,140.6,7357815.0,146.217,496651.8861
9618 HK Equity,2023-08-17,138.6,15189227.0,144.137,489587.1366
9618 HK Equity,2023-08-18,131.2,17175129.0,136.442,463447.5637
9618 HK Equity,2023-08-21,129.0,11659908.0,134.154,455676.3393
9618 HK Equity,2023-08-22,131.3,8280596.0,136.546,463800.8011
9618 HK Equity,2023-08-23,131.0,6598692.0,136.234,462741.0887
9618 HK Equity,2023-08-24,133.2,8943038.0,138.521,470512.3131
9618 HK Equity,2023-08-25,130.0,6677775.0,135.194,459208.714
9618 HK Equity,2023-08-28,131.1,6023360.0,136.338,463094.3262
9618 HK Equity,2023-08-29,133.8,5915101.0,139.145,472631.7379
9618 HK Equity,2023-08-30,131.8,7796486.0,137.066,465566.9885
9618 HK Equity,2023-08-31,128.8,17121776.0,133.946,454969.8643
9618 HK Equity,2023-09-04,135.2,20415714.0,140.601,477577.0625
9618 HK Equity,2023-09-05,132.2,8667579.0,137.482,466979.9384
9618 HK Equity,2023-09-06,132.6,8197063.0,137.897,468392.8883
9618 HK Equity,2023-09-07,128.5,8990170.0,133.634,453910.1519
9618 HK Equity,2023-09-11,125.6,19094054.0,130.618,443666.2652
9618 HK Equity,2023-09-12,124.7,6790145.0,129.682,440487.128
9618 HK Equity,2023-09-13,123.7,6427598.0,128.642,436954.7532
9618 HK Equity,2023-09-14,124.0,7515238.0,128.954,438014.4657
9618 HK Equity,2023-09-15,124.6,11461269.0,129.578,440133.8905
9618 HK Equity,2023-09-18,121.0,9895275.0,125.834,427417.3415
9618 HK Equity,2023-09-19,119.6,11605963.0,124.378,422472.0169
9618 HK Equity,2023-09-20,118.0,7836229.0,122.714,416820.2173
9618 HK Equity,2023-09-21,116.7,7654302.0,121.362,412228.1302
