ticker,period_end,revenue,net_income,eps,bvps,cfo,total_debt,roe,shares_out,announce_date,announce_date_est
12 HK Equity,2022-12-31,16045.0,4458.0,0.9209,67.7439,6363.0,88336.0,2.7872,4841.387,2023-03-21,False
12 HK Equity,2023-06-30,10278.0,5957.0,1.23,66.9829,8551.0,89847.0,3.1844,4841.387,2023-08-22,False
12 HK Equity,2023-12-31,17292.0,3304.0,0.6825,67.4534,4723.0,93087.0,2.83,4841.387,2024-03-21,False
12 HK Equity,2024-06-30,11762.0,3174.0,0.66,66.6048,10780.0,83659.0,2.0034,4841.387,2024-08-21,False
12 HK Equity,2024-12-31,13494.0,3122.0,0.6449,66.5455,2578.0,83255.0,1.9411,4841.387,2025-03-20,False
12 HK Equity,2025-06-30,9552.0,2908.0,0.6,66.1306,6257.0,81472.0,1.8768,4841.387,2025-08-20,False
12 HK Equity,2025-12-31,16189.0,2745.0,0.567,66.611,5067.0,79744.0,1.7539,4841.387,2026-03-23,False
12 HK Equity,2026-06-30,17203.0,4090.0,0.81,67.2442,13876.0,76885.0,2.1171,4841.387,2026-08-20,False
1209 HK Equity,2019-06-30,2640.607,192.218,,,-391.38,,,,2020-11-25,False
1209 HK Equity,2019-12-31,3227.496,172.71,,,787.284,1304.555,,,2020-11-25,False
1209 HK Equity,2020-06-29,3134.0,338.565,,,-288.939,1310.051,56.9902,,2020-06-30,False
1209 HK Equity,2020-12-31,3644.911,479.145,,5.4603,1392.457,1904.187,12.1191,2282.5,2021-03-30,False
1209 HK Equity,2021-06-30,4014.403,806.034,0.353,5.6819,884.725,1880.029,18.486,2282.5,2021-08-25,False
1209 HK Equity,2021-12-31,4860.981,918.891,0.4026,6.0845,1697.642,2159.719,13.092,2282.5,2022-03-30,False
1209 HK Equity,2022-06-30,5277.728,1027.586,0.45,6.2448,793.927,1892.366,14.3004,2282.5,2022-08-30,False
1209 HK Equity,2022-12-31,6738.451,1178.54,0.5163,6.2562,1401.278,2401.717,15.6643,2282.5,2023-03-28,False
1209 HK Equity,2023-06-30,6793.323,1402.481,0.614,6.5415,1138.937,2441.858,17.6875,2282.5,2023-08-30,False
1209 HK Equity,2023-12-31,7973.629,1526.268,0.6687,6.9872,2244.884,2419.109,19.3777,2282.5,2024-03-26,False
1209 HK Equity,2024-06-30,8000.297,1889.672,0.828,7.3421,2109.952,2370.413,21.559,2282.5,2024-08-28,False
